LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-122.024017,36.9633898,30,FRONT ST,FRNT,,,,95060,,b8c7dff189a69d56
-122.0241028,36.9635492,38,FRONT ST,,,,,95060,,050ac7c43353fbf9
-122.0241028,36.9635492,38,FRONT ST,A,,,,95060,,b872dcd7087e58fb
-122.0241028,36.9635492,38,FRONT ST,A&B&C,,,,95060,,5ceda215ad371dbb
-122.0241028,36.9635492,38,FRONT ST,C,,,,95060,,4c935c53a906a9ce
-122.0241028,36.9635492,38,FRONT ST,B,,,,95060,,5756108632a234aa
-122.024017,36.9633898,38,FRONT ST,CMN-17,,,,95060,,5fefb9ffbff6abfc
-122.0241028,36.9635492,38,FRONT ST,FRNT,,,,95060,,90082a97a7059870
-122.0241722,36.9636888,40,FRONT ST,,,,,95060,,84a34f8bb4a347d8
-122.0241722,36.9636888,40,FRONT ST,1,,,,95060,,85f7a5ebc10773e4
-122.0241722,36.9636888,40,FRONT ST,1-5,,,,95060,,021a9ee1810a0928
-122.0241722,36.9636888,40,FRONT ST,2,,,,95060,,325b82b02f6520dc
-122.0241722,36.9636888,40,FRONT ST,3,,,,95060,,a95d237d44dd8296
-122.0241722,36.9636888,40,FRONT ST,4,,,,95060,,bc93489cc82f4892
-122.0241722,36.9636888,40,FRONT ST,5,,,,95060,,10c6767baac9dba0
-122.0243118,36.9637789,44,FRONT ST,A,,,,95060,,3a06dae4234d9cd5
-122.0244015,36.9641083,54,FRONT ST,,,,,95060,,0be292fa218bc03b
-122.0244015,36.9641083,54,FRONT ST,A,,,,95060,,13945f1cd51a4759
-122.0244015,36.9641083,54,FRONT ST,B,,,,95060,,07d749fe91081bf1
-122.0249457,36.9640413,55,FRONT ST,,,,,95060,,405bab83f7357687
-122.0245111,36.9642201,58,FRONT ST,,,,,95060,,34d887252bf59b3e
-122.025343,36.9645457,71,FRONT ST,,,,,95060,,cef068c83dded0e5
-122.025343,36.9645457,71,FRONT ST,1,,,,95060,,2944fa125b260b0f
-122.0243495,36.963858,46,FRONT ST,,,,,95060,,544776e29ee41ce7
-122.025343,36.9645457,71,FRONT ST,2,,,,95060,,2858380e146e1fd3
-122.025343,36.9645457,71,FRONT ST,4,,,,95060,,2389acbd135c9146
-122.024278,36.9639993,50,FRONT ST,,,,,95060,,37cc15f242da9552
-122.025343,36.9645457,71,FRONT ST,6,,,,95060,,5c31e8e6a7314330
-122.025343,36.9645457,71,FRONT ST,5,,,,95060,,99ef899b22fe4cd3
-122.025343,36.9645457,71,FRONT ST,7,,,,95060,,a79b4c5bbdccbee6
-122.025343,36.9645457,71,FRONT ST,8,,,,95060,,1362fb595dd823a8
-122.025343,36.9645457,71,FRONT ST,COMMON,,,,95060,,fb695e7d65263718
-122.0254252,36.9647023,75,FRONT ST,"77,79",,,,95060,,b6069b0e7bb83c4b
-122.0254252,36.9647023,75,FRONT ST,A,,,,95060,,61601a6be26561bb
-122.0254252,36.9647023,75,FRONT ST,B,,,,95060,,1ed0468e439ea091
-122.0254252,36.9647023,75,FRONT ST,C,,,,95060,,8a1b30db6b94271c
-122.0254252,36.9647023,75,FRONT ST,D,,,,95060,,6d3a668e1e7d9850
-122.0254252,36.9647023,77,FRONT ST,,,,,95060,,677c9b72690931ff
-122.0254252,36.9647023,79,FRONT ST,,,,,95060,,f6bc83378ce33349
-122.0246521,36.965212,80,FRONT ST,,,,,95060,,6ef7d630121953e6
-122.0246521,36.965212,80,FRONT ST,101A,,,,95060,,936824df4e9bd73f
-122.0246521,36.965212,80,FRONT ST,101B,,,,95060,,b7ac99e6dbb30a45
-122.0246521,36.965212,80,FRONT ST,102A,,,,95060,,c60f1ee7edaea391
-122.0246521,36.965212,80,FRONT ST,103A,,,,95060,,563d97250ced7686
-122.0246521,36.965212,80,FRONT ST,103B,,,,95060,,372410a47a84b04d
-122.0246521,36.965212,80,FRONT ST,104A,,,,95060,,5ccab6f963db416c
-122.0246521,36.965212,80,FRONT ST,105,,,,95060,,2b0c12a97fcef662
-122.0246521,36.965212,80,FRONT ST,104B,,,,95060,,d99a101e519c8e9b
-122.0246521,36.965212,80,FRONT ST,106A,,,,95060,,1ec9949762164de4
