         25797326 function calls (23699534 primitive calls) in 1837.393 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    92451    0.084    0.000    0.231    0.000 /anaconda3/envs/link/lib/python3.6/contextlib.py:85(__exit__)
    61958    0.064    0.000    0.226    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:294(times)
    46220    0.139    0.000    0.225    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/numpy/core/numerictypes.py:365(issubdtype)
    16307    0.010    0.000    0.224    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multidigraph.py:920(<genexpr>)
    15242    0.010    0.000    0.220    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:1001(<genexpr>)
    15241    0.023    0.000    0.220    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/operand.py:49(__eq__)
    46220    0.072    0.000    0.215    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/model.py:996(_register_one_constraint)
    92440    0.074    0.000    0.204    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:461(_to_linear_operand)
    28184    0.030    0.000    0.201    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:320(_get_coords)
        3    0.000    0.000    0.194    0.065 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:236(_expand_names)
        3    0.016    0.005    0.194    0.065 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:244(<listcomp>)
    33058    0.172    0.000    0.192    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:370(__getitem__)
   873714    0.187    0.000    0.187    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    61957    0.029    0.000    0.178    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/mfactory.py:87(<lambda>)
    33058    0.177    0.000    0.177    0.000 {shapely.speedups._speedups.geos_linestring_from_py}
    30979    0.034    0.000    0.170    0.000 /Users/fkauker/Documents/code/link/link/solve/nfmp.py:73(<genexpr>)
    46220    0.023    0.000    0.168    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:231(Pylolmat_to_CHBmat)
   107684    0.062    0.000    0.165    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:1322(iter_terms)
    76709    0.116    0.000    0.165    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/linear.py:910(__init__)
   188952    0.126    0.000    0.163    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/graph.py:628(nodes)
    46220    0.057    0.000    0.160    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/docplex/mp/constr.py:355(__init__)
    28184    0.049    0.000    0.159    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:640(is_empty)
   108180    0.086    0.000    0.157    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_procedural.py:32(cpx_decode)
        1    0.000    0.000    0.154    0.154 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_subinterfaces.py:7565(get_values)
        1    0.000    0.000    0.154    0.154 /anaconda3/envs/link/lib/python3.6/site-packages/cplex/_internal/_aux_functions.py:121(apply_freeform_two_args)
